Sn,Country,Total Case,New Case,Total Death,New Death,Total Recovered,New Recovered
176,Gibraltar,"4,595",,94 ,,"4,286",
177,Barbados,"4,258",,48 ,,"4,058",
178,Guinea-Bissau,"4,052",,73 ,,"3,706",
179,Comoros,"4,011",,147 ,,"3,837",
180,Laos,"3,426",,5 ,,"2,174",
181,Liechtenstein,"3,061",,59 ,,"2,989",
182,New Zealand,"2,817",+3,26 ,,"2,744",+1
183,Monaco,"2,682",,33 ,,"2,570",
184,Sint Maarten,"2,664",,34 ,,"2,601",
185,Bermuda,"2,530",,33 ,,"2,482",
186,Turks and Caicos,"2,453",,18 ,,"2,400",
187,Saint Martin,"2,433",,38 ,,"1,399",
188,Bhutan,"2,421",,2 ,,"2,042",
189,Sao Tome and Principe,"2,410",,37 ,,"2,336",
190,Isle of Man,"2,307",,29 ,,"1,580",
191,St. Vincent Grenadines,"2,260",,12 ,,"2,196",
192,British Virgin Islands,"2,024",,17 ,,420,
193,Mauritius,"1,858",,18 ,,"1,534",
194,Caribbean Netherlands,"1,672",,17 ,,"1,633",
195,Antigua and Barbuda,"1,268",,42 ,,"1,224",
196,St. Barth,"1,005",,1 ,,462,
197,Faeroe Islands,925,,1 ,,820,
198,Diamond Princess,712,,13 ,,699,
199,Cayman Islands,622,,2 ,,617,
200,Saint Kitts and Nevis,550,,3 ,,483,
201,Tanzania,509,,21 ,,183,
202,Wallis and Futuna,445,,7 ,,438,
203,Brunei ,283,,3 ,,260,
204,Dominica,206,, ,,195,
205,Grenada,161,,1 ,,160,
206,New Caledonia,129,, ,,58,
207,Anguilla,112,, ,,111,
208,Greenland,78,, ,,52,
209,Falkland Islands,63,, ,,63,
210,Macao,55,, ,,53,
211,Vatican City,27,, ,,27,
212,Saint Pierre Miquelon,26,, ,,26,
213,Montserrat,21,,1 ,,19,
214,Solomon Islands,20,, ,,20,
215,Western Sahara,10,,1 ,,8,
216,MS Zaandam,9,,2 ,,7,
217,Vanuatu,4,,1 ,,3,
218,Marshall Islands,4,, ,,4,
219,Samoa,3,, ,,3,
220,Saint Helena,2,, ,,2,
221,Micronesia,1,, ,,1,
